Type,Site,Depth.cm,Distance  m,pH,Eh mV,EC mScm,AVS umolg,TotalS.oes.umolg,Porewater FeII mgL ,Porewater total Fe II mgL,Porewater FeIII mgL,Pore-water sulfate mgL,As.oes  ,Co.oes   ,Cr.oes   ,Cu.oes   ,Fe.oes   ,Mn.oes   ,Ni.oes   ,P.oes   ,Pb.oes  ,S.oes   ,Zn.oes   ,Ti.ms,V.ms,Cr.ms,Mn.ms,Fe.ms,Co.ms,Cu.ms,Zn.ms,As.ms,Rb.ms,Sr.ms,Mo.ms,Cd.ms,Ba.ms,Pb.ms,Bi.ms,Th.ms,U.ms
Sediment,S 1,2.5,2,5.65,-92,NA,NA,399.76,1.22,1.91,0.68,7904.08,7.764225119,3.869614117,18.26087542,6.499796316,67293.76108,47.25916075,9.349455346,130.8962365,15.70197393,12820.45694,6.268785711,307.81,66.58,28.44,68.56,80659.49,6.51,10,11.43,5.24,12.4,205.78,15.58,0.08,26.26,15.98,0.03,16.66,12.84
Sediment,S 1,7.5,2,6.01,-7,12.2,87.14,532.48,1.6,2,0.4,6689.8,8.75836291,7.079880798,29.49922388,11.09828646,80589.57948,51.54603028,15.50427547,218.8239524,24.71961688,17076.69496,5.260781974,350.45,98.25,40.77,68.5,85941.41,9.45,13.24,10.5,7.93,18.4,279.21,17.07,0.12,38.19,23.3,0.05,27.42,13.05
Sediment,S 1,12.5,2,5.74,100,14.92,94.85,469.38,42.91,44.13,1.22,6213.73,7.812470487,10.40452392,30.34492221,11.15655984,55736.6468,48.52678259,16.56969232,231.2520875,28.2861994,15053.17531,4.839073407,394.34,108.07,45,67.54,67387.61,13.9,14.94,10.16,7.64,20.61,265.11,18.46,0.11,40.47,28.64,0.07,27.11,14.44
Sediment,S 1,17.5,2,5.5,-42,NA,55.46,254.29,152.26,200.77,48.51,5243.14,4.736753232,5.595851259,19.90141044,6.662421078,34185.64669,39.67516853,9.960074879,117.1568783,18.0248432,8155.025826,2.410248491,406.4,63.55,25.12,48.48,38822.88,8.14,7.7,5.32,4.9,12.65,110.13,10.11,0.07,22.93,17.11,0.04,16.86,7.97
Sediment,S 1,22.5,2,5.44,120,18.42,31.47,160.34,140.36,196.76,56.39,6105.88,0.648699666,3.417048162,11.46659357,3.526505925,19309.56167,27.65060219,5.776249705,78.30184296,7.157283755,5141.997915,1.008677628,251.79,32.58,13.19,29.32,21200.24,4.68,3.41,2.47,2.08,6.8,48.31,5.23,0.03,11.46,7.29,0.02,8.52,4.23
Sediment,S 1,27.5,2,5.15,NA,NA,52.21,299.87,NA,NA,NA,NA,1.982432355,4.087466136,19.98588054,6.611697196,33817.37123,46.70916229,10.87987567,155.9289922,15.56942712,9616.689439,3.910980916,328.81,62.64,25.73,62.4,39191.47,6.61,8.88,7.96,4.96,13.29,122.36,12.42,0.06,25.49,15.4,0.05,17.04,8.67
Sediment,S 2,2.5,58,7.58,-60,30.5,26.95,104.53,1.28,2.03,0.75,8689.8,0.47378009,0.646955451,6.95938118,1.614495938,7872.561811,22.26776269,2.459689693,24.51154148,2.919218433,3352.14701,1.421847942,149.18,29.26,7.7,32.3,10325.94,1.8,1.56,1.53,2.38,3.31,25.2,4.94,0.03,5.18,2.93,0.01,4.68,0.83
Sediment,S 2,7.5,58,7.65,-71,NA,40.16,216.53,1.39,2.2,0.81,7822.45,2.475225058,1.831896925,8.440682146,2.725208171,12224.14987,68.70128779,3.954178701,77.2678693,5.279036385,6944.201211,5.092235627,187.64,43.95,15,139.38,19181.71,4.23,4.09,9.02,5.03,5.46,95.06,4.73,0.02,12.16,5.89,0.02,8.38,2.51
Sediment,S 2,12.5,58,7.62,-80,52.6,101.83,837.83,1.51,2.4,0.89,7914.29,2.664734409,6.719875566,12.98157088,5.513267377,29468.33242,128.6206129,7.605038634,244.9576385,9.705135794,26869.11531,15.19673678,274.34,48.61,19,158.89,37996.34,9.41,7.83,22.03,4.02,7.85,243.47,10.85,0.13,14.26,9.01,0.02,10.18,5.71
Sediment,S 2,17.5,58,7.75,-101,NA,277.8,1076.47,1.59,2.89,1.3,6363.27,4.433221541,15.90100062,10.15930537,5.412561815,47385.79367,543.3097583,13.02416309,639.3091882,8.916764509,34522.43848,16.73084171,208.66,41.31,15.59,706.95,61169.9,23.49,8.78,23.16,4.03,6.95,214.16,11.21,0.26,13.28,8.3,0.02,9.02,9.06
Sediment,S 2,22.5,58,7.49,-76,34.5,214.05,1985.36,1.47,2.6,1.13,7853.06,1.898448946,5.180175674,13.6771452,5.128365977,53937.55698,179.5455879,7.913116983,236.6805149,10.9701351,63670.6333,7.73401067,410.93,48.03,22.53,249.47,73537.26,8.89,9.99,12.75,6.31,10.13,500.37,13.3,0.08,19.44,10.88,0.02,12.16,11.84
Sediment,S 2,27.5,58,6.87,-90,36.3,122.85,2192.56,1.27,1.98,0.71,8526.53,4.671025267,5.636029076,16.76045552,5.751770541,40689.75349,35.47669876,8.819900015,149.3029116,12.27085916,70315.25769,5.553461272,443.12,51.57,23.35,45.02,49248.06,8.74,8.67,8.03,5.97,10.5,461.23,10.21,0.07,19.95,11.62,0.04,12.36,7.15
Sediment,S 3,2.5,82,6.53,29,75.9,136.25,947.59,NA,NA,NA,NA,5.926649955,9.002461295,9.786206544,4.793751051,29601.31123,88.90265522,10.08761327,258.8263367,9.290751529,30389.2026,13.13147525,199.36,30.45,13.73,113.3,37506.67,13.26,6.24,18.27,4.8,6.26,242.63,8.47,0.13,11.89,6.95,0.02,6.78,9.19
Sediment,S 3,7.5,82,6.07,142,NA,7.59,201.58,1.09,1.74,0.65,10771.43,3.124480786,7.045681318,19.01922437,7.531424964,18695.38206,36.73587549,9.70326717,159.021467,19.97940453,6464.654505,4.994715587,525.46,84.17,31.54,61.07,28308.03,12.93,10.75,9.64,4.49,14.09,106.15,12.32,0.11,28.05,23.34,0.04,19.03,9.13
Sediment,S 3,12.5,82,5.84,193,NA,0.44,236.19,NA,NA,NA,NA,6.187050231,1.651824028,26.16842212,3.763915397,35562.51406,53.67676118,7.725187936,27.14126917,20.74702127,7574.56823,1.489255124,539.13,100.02,32.11,63.29,41450.24,2.67,5.99,3.44,6.8,21.13,19.07,12.29,0.03,14.33,19.48,0.04,18.91,1.39
Sediment,S 3,17.5,82,3.98,303,15.01,NA,335.7,NA,NA,NA,NA,7.287288336,2.190531439,28.11579975,4.962147674,46026.16908,50.6074654,7.344191137,25.57466916,26.69858814,10765.89107,1.307949699,424.34,126.34,39.02,62.86,57087.53,3.13,7.39,3.63,6.92,22.42,18.25,9.38,0.03,15.4,28.26,0.05,19.55,1.33
Sediment,S 3,22.5,82,4.1,295,NA,0.81,406.19,NA,NA,NA,NA,6.860101598,2.493713095,31.12219028,5.794375127,56911.05643,59.47994593,7.872652524,25.3087692,24.36985898,13026.44382,1.100383744,445.21,158.2,42.76,77.7,68633.84,3.31,8.64,4.14,7.5,23.4,18.22,9.42,0.01,15.63,24.56,0.05,22.84,1.39
Sediment,S 3,27.5,82,5.46,173,NA,0.38,535.61,NA,NA,NA,NA,5.628053334,5.215170167,28.207872,15.07825448,47051.00162,101.2489132,8.539386754,29.78712571,19.32161689,17176.85295,1.95055332,476.53,133.7,41.85,134.84,61207.24,8.02,21.35,4.78,7.23,24.98,41.23,9.49,0.02,15.09,20.42,0.07,24.75,2.1
