"Type","Redox","Type.S3","Site","Depth.cm","Distance..m","pH","Eh.mV","EC.mScm","AVS.umolg","TotalS.oes.umolg","Porewater.FeII.mgL","Porewater.total.Fe.II.mgL","Porewater.FeIII.mgL","Pore.water.sulfate.mgL","As.ms","As.oes","Ba.ms","Cd.ms","Co.ms","Co.oes","Cr.ms","Cr.oes","Cu.ms","Cu.oes","Fe.ms","Fe.oes","Mn.ms","Mn.oes","Mo.ms","Ni.oes","P.oes","Pb.ms","Pb.oes","Rb.ms","S.oes","Sr.ms","Th.ms","Ti.ms","U.ms","V.ms","Zn.ms","Zn.oes","REE.ms","As","Ba","Cd","Co","Cr","Cu","Fe","Mn","Mo","Ni","P","Pb","Rb","S","Sr","Th","Ti","U","V","Zn","REE","As.log","Ba.log","Cd.log","Co.log","Cr.log","Cu.log","Fe.log","Mn.log","Ni.log","P.log","Pb.log","S.log","Sr.log","Th.log","Ti.log","U.log","V.log","Zn.log","REE.log"
"Sediment","Reduced","Sediment","S 1",2.5,2,5.65,-92,NA,NA,399.76,1.22,1.91,0.68,7904.08,5.24,7.764225119,26.26,0.08,6.51,3.869614117,28.44,18.26087542,10,6.499796316,80659.49,67293.76108,68.56,47.25916075,15.58,9.349455346,130.8962365,15.98,15.70197393,12.4,12820.45694,205.78,16.66,307.81,12.84,66.58,11.43,6.268785711,674.08,-1.752068661,-0.533548452,-6.327323966,-1.928255865,-0.453798716,-1.499010228,7.315227487,0.426113953,-1.055607281,-1.566277232,1.0728096,-1.030257381,-1.283898849,5.657202051,1.525212316,-0.988584685,1.927887388,-1.249030023,0.396808911,-1.365353844,2.711753477,0.890098119,1.419294722,-1.096910013,0.813580989,1.453929592,1,4.827974802,1.836070809,0.970786312,2.11692716,1.203576775,4.107903504,2.313403163,1.221674997,2.488282725,1.108565024,1.823343791,1.05804623,2.828711442
"Sediment","Reduced","Sediment","S 1",7.5,2,6.01,-7,12.2,87.14,532.48,1.6,2,0.4,6689.8,7.93,8.75836291,38.19,0.12,9.45,7.079880798,40.77,29.49922388,13.24,11.09828646,85941.41,80589.57948,68.5,51.54603028,17.07,15.50427547,218.8239524,23.3,24.71961688,18.4,17076.69496,279.21,27.42,350.45,13.05,98.25,10.5,5.260781974,681.78,-1.89481489,-0.422250194,-6.185087431,-1.818809153,-0.356877378,-1.481581344,7.232300738,0.16200985,-1.227501358,-1.323708072,1.323443641,-0.916370534,-1.15247323,5.68064605,1.567140292,-0.753551221,1.794394148,-1.496035761,0.522691356,-1.713448638,2.45988313,0.942422937,1.581949658,-0.920818754,0.975431809,1.610340711,1.121887985,4.90627889,1.835690571,1.190451476,2.340094858,1.367355921,4.232403821,2.445930969,1.43806745,2.544626064,1.115610512,1.992332559,1.021189299,2.833644257
"Sediment","Reduced","Sediment","S 1",12.5,2,5.74,100,14.92,94.85,469.38,42.91,44.13,1.22,6213.73,7.64,7.812470487,40.47,0.11,13.9,10.40452392,45,30.34492221,14.94,11.15655984,67387.61,55736.6468,67.54,48.52678259,18.46,16.56969232,231.2520875,28.64,28.2861994,20.61,15053.17531,265.11,27.11,394.34,14.44,108.07,10.16,4.839073407,743.95,-2.046174161,-0.401334439,-6.309170311,-1.470006558,-0.295232908,-1.397853218,6.826497743,0.110824617,-1.186289169,-1.294320135,1.341613005,-0.747091056,-1.076119003,5.517448834,1.478249436,-0.801992735,1.875318083,-1.431893265,0.580883767,-1.783436956,2.51007843,0.89278839,1.607133204,-0.958607315,1.1430148,1.653212514,1.174350597,4.746140837,1.829561056,1.219314444,2.364085662,1.456973014,4.177628119,2.42342611,1.433129518,2.595870832,1.159567193,2.033705151,1.006893708,2.871543748
"Sediment","Reduced","Sediment","S 1",17.5,2,5.5,-42,NA,55.46,254.29,152.26,200.77,48.51,5243.14,4.9,4.736753232,22.93,0.07,8.14,5.595851259,25.12,19.90141044,7.7,6.662421078,38822.88,34185.64669,48.48,39.67516853,10.11,9.960074879,117.1568783,17.11,18.0248432,12.65,8155.025826,110.13,16.86,406.4,7.97,63.55,5.32,2.410248491,434.94,-2.015047835,-0.437953667,-6.2296598,-1.473609583,-0.346735422,-1.529179435,6.869161384,0.310751578,-1.25687473,-1.271815174,1.193114113,-0.730736676,-1.032742548,5.435989918,1.131261723,-0.745455811,2.436938133,-1.494715271,0.581427234,-1.89892646,2.504808327,0.67548076,1.360404055,-1.15490196,0.910624405,1.400019635,0.886490725,4.5338438,1.685562611,0.998262603,2.068767791,1.23325001,3.911425341,2.041905639,1.22685757,2.608953699,0.901458321,1.803115555,0.725911632,2.63842935
"Sediment","Reduced","Sediment","S 1",22.5,2,5.44,120,18.42,31.47,160.34,140.36,196.76,56.39,6105.88,2.08,0.648699666,11.46,0.03,4.68,3.417048162,13.19,11.46659357,3.41,3.526505925,21200.24,19309.56167,29.32,27.65060219,5.23,5.776249705,78.30184296,7.29,7.157283755,6.8,5141.997915,48.31,8.52,251.79,4.23,32.58,2.47,1.008677628,214.03,-3.292683517,-0.421035372,-6.366455981,-1.316599974,-0.280439117,-1.633185792,7.008457592,0.518371793,-1.205486806,-1.106143452,1.500673056,-0.873394538,-0.942975471,5.685298899,1.017740495,-0.717481743,2.668697323,-1.417696091,0.62380052,-1.955679933,2.506218108,-0.187956326,1.059184618,-1.522878745,0.670245853,1.120244796,0.532754379,4.285772415,1.467163966,0.761645959,1.893771984,0.862727528,3.711131896,1.684037037,0.930439595,2.401038478,0.626340367,1.51295108,0.392696953,2.330474651
"Sediment","Reduced","Sediment","S 1",27.5,2,5.15,NA,NA,52.21,299.87,NA,NA,NA,NA,4.96,1.982432355,25.49,0.06,6.61,4.087466136,25.73,19.98588054,8.88,6.611697196,39191.47,33817.37123,62.4,46.70916229,12.42,10.87987567,155.9289922,15.4,15.56942712,13.29,9616.689439,122.36,17.04,328.81,8.67,62.64,7.96,3.910980916,333.79,-2.889962181,-0.336000516,-6.387697451,-1.68570308,-0.326629108,-1.390485177,6.854443157,0.559278541,-1.054978658,-1.18737192,1.475113991,-0.839919225,-0.987274862,5.596968617,1.232680785,-0.738723213,2.221193342,-1.414417943,0.563117317,-1.499857734,2.236225318,0.297198377,1.406369835,-1.22184875,0.820201459,1.410439786,0.948412966,4.529139845,1.79518459,1.036623932,2.192926872,1.187520721,3.983025591,2.087639468,1.23146959,2.516945017,0.938019097,1.796851749,0.900913068,2.523473322
"Sediment","Reduced","Sediment","S 2",2.5,58,7.58,-60,30.5,26.95,104.53,1.28,2.03,0.75,8689.8,2.38,0.47378009,5.18,0.03,1.8,0.646955451,7.7,6.95938118,1.56,1.614495938,10325.94,7872.561811,32.3,22.26776269,4.94,2.459689693,24.51154148,2.93,2.919218433,3.31,3352.14701,25.2,4.68,149.18,0.83,29.26,1.53,1.421847942,61.54,-2.961637163,-0.569820096,-5.72118305,-1.626838488,-0.173404824,-1.769939331,6.756513652,1.260442078,-0.617259821,-1.314589952,0.984518935,-1.13962273,-1.017676963,5.902731165,1.012218842,-0.671327043,2.790528478,-2.400954731,1.161596243,-1.789357417,1.905062217,-0.324423194,0.71432976,-1.522878745,0.255272505,0.886490725,0.193124598,3.896116079,1.509202522,0.390880321,1.389370624,0.46686762,3.525323057,1.401400541,0.670245853,2.173710603,-0.080921908,1.466274322,0.184691431,1.789157492
"Sediment","Reduced","Sediment","S 2",7.5,58,7.65,-71,NA,40.16,216.53,1.39,2.2,0.81,7822.45,5.03,2.475225058,12.16,0.02,4.23,1.831896925,15,8.440682146,4.09,2.725208171,19181.71,12224.14987,139.38,68.70128779,4.73,3.954178701,77.2678693,5.89,5.279036385,5.46,6944.201211,95.06,8.38,187.64,2.51,43.95,9.02,5.092235627,220.52,-2.103460248,-0.511639696,-6.921814578,-1.567589579,-0.301741371,-1.601246602,6.401377199,1.927412444,-1.45586637,-1.635018654,1.337486634,-1.236535575,-1.312342783,5.83587066,1.544716699,-0.883943658,2.224733661,-2.089508819,0.773261052,-0.810347238,2.386196821,0.393614693,1.084933575,-1.698970004,0.626340367,1.176091259,0.611723308,4.087218666,2.14420046,0.597056292,1.887998937,0.770115295,3.841622296,1.97799781,0.923244019,2.273325424,0.399673721,1.642958879,0.955206538,2.343447984
"Sediment","Reduced","Sediment","S 2",12.5,58,7.62,-80,52.6,101.83,837.83,1.51,2.4,0.89,7914.29,4.02,2.664734409,14.26,0.13,9.41,6.719875566,19,12.98157088,7.83,5.513267377,37996.34,29468.33242,158.89,128.6206129,10.85,7.605038634,244.9576385,9.01,9.705135794,7.85,26869.11531,243.47,10.18,274.34,5.71,48.61,22.03,15.19673678,666.58,-2.697173863,-1.019819841,-5.717499085,-1.435505303,-0.732839277,-1.619315746,6.613793232,1.390933883,-1.293113176,-1.64846725,1.823807035,-1.478943185,-1.616764724,6.52145452,1.817715475,-1.356853245,1.937089957,-1.935059233,0.206551015,-0.584873095,2.824881906,0.42565393,1.154119526,-0.886056648,0.973589623,1.278753601,0.893761762,4.46935556,2.201096565,0.881101425,2.389090987,0.954724791,4.429253367,2.386445456,1.007747778,2.438289134,0.756636108,1.686725621,1.343014497,2.823852279
"Sediment","Reduced","Sediment","S 2",17.5,58,7.75,-101,NA,277.8,1076.47,1.59,2.89,1.3,6363.27,4.03,4.433221541,13.28,0.26,23.49,15.90100062,15.59,10.15930537,8.78,5.412561815,61169.9,47385.79367,706.95,543.3097583,11.21,13.02416309,639.3091882,8.3,8.916764509,6.95,34522.43848,214.16,9.02,208.66,9.06,41.31,23.16,16.73084171,1213.22,-2.470621129,-1.373488515,-5.306821307,-0.80317286,-1.213117976,-1.787271251,6.806330092,2.601212283,-1.542941422,-1.392941327,2.500640541,-1.843492144,-2.021005999,6.489617124,1.40697574,-1.760303325,1.380958474,-1.755878539,-0.238643057,-0.817321006,3.141285602,0.646719435,1.123198075,-0.585026652,1.370883017,1.192846115,0.943494516,4.675648159,2.849388699,1.114749826,2.805710946,0.919078092,4.538101464,2.330738358,0.955206538,2.319439203,0.957128198,1.616055195,1.364738555,3.083939561
